Country,Year,fertility,life,population,child_mortality,gdp
Afghanistan,1964,7.671,33.639,10474903,339.7,1182
Afghanistan,1965,7.671,34.152,10697983,334.1,1182
Afghanistan,1966,7.671,34.662,10927724,328.7,1168
Afghanistan,1967,7.671,35.17,11163656,323.3,1173
Afghanistan,1968,7.671,35.674,11411022,318.1,1187
Afghanistan,1969,7.671,36.172,11676990,313,1178
Afghanistan,1970,7.671,36.663,11964906,307.8,1174
Afghanistan,1971,7.671,37.143,12273101,302.1,1092
Afghanistan,1972,7.671,37.614,12593688,296.4,1046
Afghanistan,1973,7.671,38.075,12915499,290.8,1137
Afghanistan,1974,7.671,38.529,13223928,284.9,1170
Afghanistan,1975,7.671,38.977,13505544,279.4,1201
Afghanistan,1976,7.67,39.417,13766792,273.6,1231
Afghanistan,1977,7.67,39.855,14003408,267.8,1119
Afghanistan,1978,7.67,40.298,14179656,261.6,1179
Afghanistan,1979,7.669,40.756,14249493,255.5,1155
Afghanistan,1980,7.669,41.242,14185729,249.1,1158
Afghanistan,1981,7.67,41.77,13984092,242.7,1284
Afghanistan,1982,7.671,42.347,13672870,236.2,1402
Afghanistan,1983,7.673,42.977,13300056,229.7,1454
Afghanistan,1984,7.676,43.661,12931791,222.9,1429
Afghanistan,1985,7.679,44.4,12625292,216,1384
Afghanistan,1986,7.681,45.192,12372113,209.2,1486
Afghanistan,1987,7.682,46.024,12183387,202.1,1230
Afghanistan,1988,7.682,46.88,12156685,195,1113
Afghanistan,1989,7.682,47.744,12414686,187.8,1087
Afghanistan,1990,7.687,48.601,13032161,181,1028
Afghanistan,1991,7.7,49.439,14069854,174.2,1022
Afghanistan,1992,7.725,50.247,15472076,167.8,941
Afghanistan,1993,7.758,51.017,17053213,162,810
Afghanistan,1994,7.796,51.738,18553819,156.8,725
Afghanistan,1995,7.832,52.4,19789880,152.3,872
Afghanistan,1996,7.859,52.995,20684982,148.6,895
Afghanistan,1997,7.869,53.527,21299350,145.5,921
Afghanistan,1998,7.854,54.009,21752257,142.6,947
Afghanistan,1999,7.809,54.449,22227543,139.9,972
Afghanistan,2000,7.733,54.863,22856302,137,962
Afghanistan,2001,7.623,55.271,23677385,133.8,862
Afghanistan,2002,7.484,55.687,24639841,130.3,1053
Afghanistan,2003,7.321,56.122,25678639,126.8,1097
Afghanistan,2004,7.136,56.583,26693486,123.2,1067
Afghanistan,2005,6.93,57.071,27614718,119.6,1146
Afghanistan,2006,6.702,57.582,28420974,116.3,1173
Afghanistan,2007,6.456,58.102,29145841,113.2,1298
Afghanistan,2008,6.196,58.618,29839994,110.4,1311
Afghanistan,2009,5.928,59.124,30577756,107.6,1548
Afghanistan,2010,5.659,59.612,31411743,105,1637
